,math_placement_score,hsgpa,NonTC,Mix,APOnly,STEM,NONSTEM,Female,Male,Caucasian,Black,Multirace,Hispanic,AsiPac,Asian,Native,HawaiiPac,Other,8 or less,10 or less,12 or less
150,-0.48415699043466537,-0.8648705608265224,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
151,-0.12568750206784893,0.8196920359504354,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
153,2.025129428133051,1.4831505356041301,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
155,-1.2010959671682988,-0.6160736234563868,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
156,-0.6633917346180739,0.32468979597443853,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
157,2.383598916499868,-1.1033009591395688,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
159,0.7704862188491928,0.995923199920948,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
160,0.949720963032601,-0.47871698094995696,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
161,1.666659939766234,0.6667855848583737,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
164,1.4874251955828257,0.6927019325010968,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
165,0.4120167304823758,0.8922578093500582,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
167,-0.12568750206784893,-0.24546985216545544,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
169,1.3081904513994176,1.3069193716336174,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
171,2.5628336606832756,2.465380111263309,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
172,0.591251474665784,-0.494266789535591,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
173,0.7704862188491928,0.06293468478294088,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
174,0.053547242115559314,0.2184327706392756,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
175,-0.48415699043466537,1.0995885904918379,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
176,1.3081904513994176,0.08885103242566275,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
180,1.4874251955828257,2.913732925482407,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
183,-0.6633917346180739,-0.22214513928700552,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
185,-1.3803307113517072,-0.24806148692972854,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
186,-1.7388001997185238,-0.8234044045981664,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
189,-1.2010959671682988,0.6590106805655567,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
190,-1.5595654555351153,-1.502412712837493,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
192,-1.5595654555351153,0.13031718865401984,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
193,-0.48415699043466537,0.5449787509375791,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
194,-0.48415699043466537,0.011101989497495975,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
195,0.949720963032601,-0.50463332859268,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
197,-1.5595654555351153,-0.7923047874268995,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
202,-0.3049222462512574,-1.1136674981966568,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
205,1.3081904513994176,1.3587520669190623,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
207,2.025129428133051,-1.9326240837066861,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
208,-0.6633917346180739,-2.0725723609773867,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
210,1.8458946839496422,0.8922578093500582,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
211,-0.8426264788014821,-1.466129826137682,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
215,2.025129428133051,-1.2328826973531806,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
216,1.1289557072160092,0.6071779852801118,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
218,-0.12568750206784893,-0.5849740062851199,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
220,0.949720963032601,0.9700068522782261,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
221,-0.8426264788014821,-1.1888249063605527,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
222,-0.48415699043466537,-0.7041892054416438,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
223,1.4874251955828257,0.20806623158218662,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
225,2.025129428133051,0.06293468478294088,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
226,-1.7388001997185238,0.1666000753538307,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
227,1.3081904513994176,1.1514212857772828,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
229,-0.12568750206784893,0.44390499513096005,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
230,1.4874251955828257,0.5268373075876719,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
232,-0.6633917346180739,-0.6368067015705647,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
235,-0.6633917346180739,-1.4065222265594202,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
237,2.383598916499868,0.3972555693740591,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
240,-1.5595654555351153,-1.1292173067822908,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
241,-0.12568750206784893,-0.34136033844352937,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
243,1.1289557072160092,0.3998472041383322,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
244,2.2043641723164593,0.2702654659247205,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
248,-0.12568750206784893,-0.08997176630912072,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
249,-0.3049222462512574,1.2032539810627276,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
251,0.591251474665784,0.9259490612855983,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
252,2.2043641723164593,1.3587520669190623,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
253,-0.12568750206784893,0.5553452899946669,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
255,0.7704862188491928,-0.9426196037546891,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
256,-1.3803307113517072,-0.04073070578794893,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
257,-0.12568750206784893,-1.3806058789166984,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
259,-1.3803307113517072,-0.11847974871611572,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
261,-0.8426264788014821,-0.7923047874268995,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
262,0.053547242115559314,1.3587520669190623,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
263,-1.5595654555351153,0.23916584875345356,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
