,math_placement_score,hsgpa,NonTC,Mix,APOnly,STEM,NONSTEM,Female,Male,Caucasian,Black,Multirace,Hispanic,AsiPac,Asian,Native,HawaiiPac,Other,8 or less,10 or less,12 or less
4495,-0.6633917346180739,1.3587520669190623,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4500,0.053547242115559314,0.6590106805655567,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4501,0.4120167304823758,-0.15217100065165576,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4503,-0.6633917346180739,-0.5849740062851199,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4505,1.4874251955828257,-0.20141206117282756,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4507,0.949720963032601,-0.6860477620917366,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4509,-0.12568750206784893,-0.17031244400156062,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4511,-1.2010959671682988,-1.3831975136809713,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4514,-0.6633917346180739,-1.4402134784949603,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
4516,-0.48415699043466537,-0.4553922680715082,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4518,-0.48415699043466537,-0.6368067015705647,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4519,0.23278198629896754,0.7885924187791684,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4520,1.1289557072160092,0.42576355178105524,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4521,1.1289557072160092,0.7885924187791684,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4522,-1.7388001997185238,0.2184327706392756,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4523,-0.48415699043466537,0.5812616376373899,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4524,0.591251474665784,1.3587520669190623,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4526,-0.3049222462512574,1.1436463814844657,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4528,-0.3049222462512574,0.15882517106101365,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4530,-0.48415699043466537,0.8119171316576184,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4531,0.053547242115559314,0.456863168952321,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4532,-0.12568750206784893,-0.509816598121225,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4534,0.7704862188491928,-0.3258105298578953,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4539,-0.12568750206784893,0.2184327706392756,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4540,1.3081904513994176,1.3328357192763405,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4541,-0.12568750206784893,1.001106469449493,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4542,1.666659939766234,1.6179155433462857,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4544,1.1289557072160092,0.6071779852801118,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4545,-0.3049222462512574,-0.48130861571423006,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4546,0.4120167304823758,1.047755895206393,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4549,-1.0218612229848907,0.8145087664218914,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4550,0.591251474665784,0.34801450885288726,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4553,1.8458946839496422,1.1747459986557327,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4554,-0.48415699043466537,1.3587520669190623,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4558,0.053547242115559314,-0.5616492934066699,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4560,2.5628336606832756,1.1488296510130096,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4561,2.025129428133051,0.8663414617073363,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4564,0.7704862188491928,0.8300585750075254,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4565,0.4120167304823758,1.021839547563671,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4567,-1.3803307113517072,0.6590106805655567,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4568,1.1289557072160092,1.3587520669190623,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4569,-0.6633917346180739,-0.6368067015705647,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4570,-0.12568750206784893,0.2780403702175375,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4571,-0.48415699043466537,0.42576355178105524,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4572,-0.3049222462512574,0.1251339191254736,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4574,-0.8426264788014821,-0.6342150668062917,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4576,-0.3049222462512574,-0.8959701779977893,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4577,-0.6633917346180739,-1.030735185739945,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4579,1.4874251955828257,1.021839547563671,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4580,-0.48415699043466537,-0.2713861998081773,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4584,-1.5595654555351153,-0.33876870367925627,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4588,-1.0218612229848907,-1.4920461737804052,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4590,0.053547242115559314,0.3687475869670664,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4592,-0.6633917346180739,-1.4013389570308763,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4593,-0.3049222462512574,-0.4553922680715082,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4599,0.23278198629896754,0.11476738006838579,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4600,1.4874251955828257,1.3587520669190623,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4603,1.4874251955828257,1.6645649691031879,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4605,1.1289557072160092,-0.559057658642398,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4607,2.2043641723164593,0.8145087664218914,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4610,-0.3049222462512574,0.11217574530411267,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4611,-0.3049222462512574,0.503512594709222,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4613,0.7704862188491928,0.45167989942377706,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4614,-0.12568750206784893,-0.5072249633569531,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4618,1.666659939766234,1.3587520669190623,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4619,-0.8426264788014821,-1.3054484707528036,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4620,-0.48415699043466537,0.3998472041383322,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4621,1.1289557072160092,1.3587520669190623,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4622,-0.12568750206784893,0.6330943329228348,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4627,-0.12568750206784893,-0.4553922680715082,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4628,-0.12568750206784893,-0.5149998676497701,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4629,-0.6633917346180739,-0.42947592042878513,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4630,-1.0218612229848907,-1.3054484707528036,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4632,0.4120167304823758,-0.5849740062851199,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4633,-0.12568750206784893,-1.1603169239535578,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
4634,1.1289557072160092,0.8404251140646133,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4635,0.7704862188491928,0.48796278612358795,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4638,0.949720963032601,0.3506061436171604,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4639,1.666659939766234,1.7423140120313536,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4648,-0.48415699043466537,1.0736722428491159,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4649,-0.8426264788014821,-1.603486468644112,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4651,0.053547242115559314,-0.27397783457245045,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4652,1.666659939766234,-1.8445085017214304,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4653,-1.7388001997185238,-1.4453967480235042,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4654,-0.12568750206784893,-2.129588325791377,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4657,1.1289557072160092,-0.5072249633569531,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4659,-1.0218612229848907,-1.556837042887211,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
4660,-1.2010959671682988,-1.1862332715962796,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4661,0.949720963032601,1.1410547467201948,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4663,-1.2010959671682988,0.6149528895729288,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4664,2.383598916499868,1.3587520669190623,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4666,-0.3049222462512574,-1.2691655840529914,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4671,-0.12568750206784893,0.3998472041383322,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4672,-0.3049222462512574,1.2291703287054507,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4676,0.7704862188491928,1.3328357192763405,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4677,-1.0218612229848907,0.3998472041383322,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4678,2.025129428133051,1.4650090922542254,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4679,1.8458946839496422,0.8870745398215143,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4680,0.949720963032601,1.3587520669190623,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4681,0.591251474665784,1.2032539810627276,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4683,-1.3803307113517072,0.06293468478294088,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4684,1.666659939766234,1.1514212857772828,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4685,1.4874251955828257,-0.14439609635883874,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4686,0.4120167304823758,0.4076221084311492,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4687,1.3081904513994176,0.1251339191254736,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4688,1.666659939766234,-0.8363625784195273,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4692,-0.3049222462512574,1.4624174574899522,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
4693,1.1289557072160092,0.7678593406649904,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4694,-0.8426264788014821,-1.2328826973531806,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4695,1.666659939766234,1.2032539810627276,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1
4697,1.4874251955828257,0.495737690416405,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4698,0.23278198629896754,-0.5149998676497701,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4699,-0.48415699043466537,0.2184327706392756,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4700,2.5628336606832756,0.8326502097717963,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4703,0.949720963032601,1.3587520669190623,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4706,-0.8426264788014821,-0.6627230492132866,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4707,0.23278198629896754,0.43353845607387226,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4708,0.23278198629896754,1.1436463814844657,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4710,-0.12568750206784893,0.8663414617073363,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4711,0.053547242115559314,0.8974410788786032,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4715,-1.2010959671682988,-4.472426152693484,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4718,-1.0218612229848907,-1.8807913884212413,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4719,1.3081904513994176,1.553124674239481,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4720,0.053547242115559314,0.8663414617073363,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4722,1.4874251955828257,1.2965528325765296,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4723,-0.8426264788014821,-0.04073070578794893,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4724,1.1289557072160092,-0.21955350452273356,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4726,-0.48415699043466537,-0.07183032295921588,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4727,0.7704862188491928,1.3587520669190623,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4731,0.053547242115559314,0.5423871161733059,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4732,0.23278198629896754,0.8559749226502473,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4735,1.4874251955828257,0.06293468478294088,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4737,1.1289557072160092,0.9181741569927813,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4740,-0.6633917346180739,-0.1314379225374778,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
4741,-0.48415699043466537,-0.36986832085052324,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4742,1.8458946839496422,1.3587520669190623,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1
4744,-1.0218612229848907,0.6071779852801118,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
4745,0.7704862188491928,0.7600844363721734,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4746,-1.2010959671682988,-0.7923047874268995,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
4747,0.4120167304823758,0.503512594709222,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4748,1.4874251955828257,0.5164707685305829,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4750,-0.48415699043466537,0.1666000753538307,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4751,-1.0218612229848907,0.6590106805655567,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4752,1.666659939766234,1.3587520669190623,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4753,-1.0218612229848907,-1.7512096502076298,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
4755,0.7704862188491928,0.8248753054789792,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4756,-1.0218612229848907,0.19251642299655256,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4758,-1.0218612229848907,0.7600844363721734,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4759,-0.12568750206784893,-1.6605024334581007,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
4760,0.053547242115559314,0.6253194286300178,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4764,0.053547242115559314,0.7445346277865406,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
4766,1.1289557072160092,0.9181741569927813,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4767,-0.3049222462512574,0.11476738006838579,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4769,0.591251474665784,0.5916281766944778,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4770,-0.12568750206784893,-0.0666470534306708,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4771,-0.48415699043466537,-0.4553922680715082,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4772,0.7704862188491928,-1.3365480879240703,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
4773,-1.3803307113517072,-1.3883807832095154,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4774,-0.6633917346180739,0.995923199920948,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4776,-1.0218612229848907,-2.9822361632369443,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
4778,-1.3803307113517072,-0.7145557444987315,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4781,2.2043641723164593,1.4287262055544132,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4783,-1.5595654555351153,-0.37764322514334026,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4786,0.4120167304823758,1.3587520669190623,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
4787,-1.0218612229848907,1.2136205201198167,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4788,0.053547242115559314,-0.5149998676497701,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
4790,0.053547242115559314,1.3587520669190623,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4792,1.666659939766234,1.3587520669190623,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4794,2.2043641723164593,1.047755895206393,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4797,-0.8426264788014821,-2.3213692983475225,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4799,1.1289557072160092,1.2136205201198167,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
4800,0.7704862188491928,0.9259490612855983,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
4803,-0.3049222462512574,1.3069193716336174,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4804,0.7704862188491928,0.10699247577556877,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4805,2.2043641723164593,0.7834091492506244,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4807,1.4874251955828257,-0.6679063187418317,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
4811,-0.6633917346180739,-1.2328826973531806,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4812,-0.8426264788014821,0.1666000753538307,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4813,-0.12568750206784893,-0.5849740062851199,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4814,0.949720963032601,-0.0796052272520329,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4815,-0.12568750206784893,-0.5849740062851199,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4818,2.025129428133051,0.6849270282082798,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4819,-0.12568750206784893,-1.989640048520675,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
4820,-0.3049222462512574,0.01628525902603989,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4821,0.7704862188491928,0.45167989942377706,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4823,1.8458946839496422,0.5812616376373899,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
4824,0.053547242115559314,1.3587520669190623,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4825,0.4120167304823758,-1.5801617557656609,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4826,-0.12568750206784893,0.4231719170167821,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4829,0.7704862188491928,-0.04073070578794893,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4830,-1.3803307113517072,0.2184327706392756,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4831,0.4120167304823758,-0.3465436079720733,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4838,1.3081904513994176,-1.7252933025649067,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4839,0.23278198629896754,0.9440905046355031,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
4840,-0.8426264788014821,-0.03554743625940501,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4843,-0.48415699043466537,1.047755895206393,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4845,0.053547242115559314,1.2162121548840885,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4846,-1.2010959671682988,-1.3883807832095154,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4847,-1.7388001997185238,0.8818912702929704,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4848,-1.2010959671682988,-2.8604293293161493,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4849,-0.48415699043466537,-0.533141310999675,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4850,2.2043641723164593,0.9492737741640482,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4853,1.4874251955828257,-0.9918606642758621,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4854,-0.12568750206784893,1.1773376334200059,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4856,-0.12568750206784893,0.11476738006838579,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4861,-0.6633917346180739,-0.486491885242774,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
4862,-0.48415699043466537,0.3350563350315263,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4863,-1.3803307113517072,-0.7404720921414546,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4864,1.3081904513994176,0.2961818135674424,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4866,-0.6633917346180739,-1.077384611496846,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4869,-0.3049222462512574,0.8326502097717963,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4872,1.666659939766234,1.0736722428491159,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4873,0.053547242115559314,1.115138399077472,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4874,-0.3049222462512574,0.9777817565710432,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4875,0.4120167304823758,1.1514212857772828,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4877,0.7704862188491928,-0.001856184323864964,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4879,1.4874251955828257,1.050347529970666,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4880,-0.8426264788014821,-0.22214513928700552,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4881,0.591251474665784,-0.7663884397841765,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4883,0.949720963032601,-1.2328826973531806,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4885,0.23278198629896754,0.8404251140646133,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4887,-0.3049222462512574,0.013693624261769084,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4888,-0.12568750206784893,0.8145087664218914,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4890,0.591251474665784,0.41280537795969313,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4891,-0.12568750206784893,-1.2328826973531806,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
4892,1.8458946839496422,1.3328357192763405,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
4893,-0.8426264788014821,-0.15476263541592658,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4894,-0.12568750206784893,0.14068372771110765,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4897,0.591251474665784,0.3350563350315263,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4899,2.2043641723164593,1.3380189888048843,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1
4900,-1.3803307113517072,-0.533141310999675,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4901,-0.48415699043466537,-1.8807913884212413,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
4903,0.591251474665784,0.3739308564956103,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
